,date,open,high,low,close,adjClose,volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
1212,2018-11-30,273.81,276.28,273.45,275.65,253.58,98204200,98204200,1.84,0.672,275.13,"November 30, 18",0.00672
1213,2018-11-29,273.71,275.55,272.43,273.98,252.04,82346400,82346400,0.27,0.09864455,273.99,"November 29, 18",0.0009864455
1214,2018-11-28,269.6,274.58,268.33,274.58,252.59,127629600,127629600,4.98,1.85,272.5,"November 28, 18",0.0185
1215,2018-11-27,266.34,268.4,265.66,268.4,246.91,75502400,75502400,2.06,0.77345,267.49,"November 27, 18",0.0077345
1216,2018-11-26,265.78,267.75,265.34,267.5,246.08,79981400,79981400,1.72,0.64715,266.86,"November 26, 18",0.0064715
1217,2018-11-23,263.18,264.82,263.07,263.25,242.17,42807900,42807900,0.07,0.02659777,263.71,"November 23, 18",0.0002659777
1218,2018-11-21,265.86,267.15,265.01,265.02,243.8,75563700,75563700,-0.84,-0.31596,265.73,"November 21, 18",-0.0031596
1219,2018-11-20,265.36,267.0,263.15,264.12,242.97,136021300,136021300,-1.24,-0.46729,264.76,"November 20, 18",-0.0046729
1220,2018-11-19,273.05,273.38,268.07,269.1,247.55,103061700,103061700,-3.95,-1.45,270.18,"November 19, 18",-0.0145
1221,2018-11-16,271.79,274.75,271.21,273.73,251.81,126668000,126668000,1.94,0.71379,273.23,"November 16, 18",0.0071379
1222,2018-11-15,268.78,273.54,267.01,273.02,251.16,135101400,135101400,4.24,1.58,271.19,"November 15, 18",0.0158
1223,2018-11-14,274.16,274.61,268.45,270.2,248.57,125335900,125335900,-3.96,-1.44,271.09,"November 14, 18",-0.0144
1224,2018-11-13,273.09,275.33,271.25,272.06,250.28,98176600,98176600,-1.03,-0.37717,272.88,"November 13, 18",-0.0037717
1225,2018-11-12,277.19,277.46,271.99,272.57,250.75,99673600,99673600,-4.62,-1.67,274.01,"November 12, 18",-0.0167
1226,2018-11-09,279.03,279.24,276.18,277.76,255.52,98812600,98812600,-1.27,-0.45515,277.73,"November 09, 18",-0.0045515
1227,2018-11-08,280.11,281.22,279.22,280.5,258.04,65584900,65584900,0.39,0.13923,280.31,"November 08, 18",0.0013923
1228,2018-11-07,277.56,281.1,277.08,281.01,258.51,102752100,102752100,3.45,1.24,279.73,"November 07, 18",0.0124
1229,2018-11-06,273.32,275.3,273.25,275.12,253.09,60085900,60085900,1.8,0.65857,274.56,"November 06, 18",0.0065857
1230,2018-11-05,272.44,274.01,271.35,273.39,251.5,65622500,65622500,0.95,0.3487,272.92,"November 05, 18",0.003487
1231,2018-11-02,274.75,275.23,269.59,271.89,250.12,122634100,122634100,-2.86,-1.04,272.24,"November 02, 18",-0.0104
1232,2018-11-01,271.6,273.73,270.38,273.51,251.61,99495000,99495000,1.91,0.70324,272.54,"November 01, 18",0.0070324
1233,2018-10-31,270.65,273.23,270.12,270.63,248.96,128296300,128296300,-0.02,-0.00738962,271.33,"October 31, 18",-7.38962e-05
1234,2018-10-30,263.67,268.12,263.12,267.77,246.33,157116000,157116000,4.1,1.55,266.34,"October 30, 18",0.0155
1235,2018-10-29,268.8,270.25,259.85,263.86,242.73,160749100,160749100,-4.94,-1.84,264.65,"October 29, 18",-0.0184
1236,2018-10-26,265.92,271.0,262.29,265.33,244.09,201574600,201574600,-0.59,-0.22187,266.21,"October 26, 18",-0.0022187
1237,2018-10-25,267.38,271.81,266.23,270.08,248.45,138061500,138061500,2.7,1.01,269.37,"October 25, 18",0.0101
1238,2018-10-24,273.33,273.76,264.7,265.32,244.08,177806700,177806700,-8.01,-2.93,267.93,"October 24, 18",-0.0293
1239,2018-10-23,270.95,274.87,268.61,273.61,251.7,146352700,146352700,2.66,0.98173,272.36,"October 23, 18",0.0098173
1240,2018-10-22,277.0,277.36,274.41,275.01,252.99,82415800,82415800,-1.99,-0.71841,275.59,"October 22, 18",-0.0071841
1241,2018-10-19,277.13,279.3,275.47,276.25,254.13,139901600,139901600,-0.88,-0.31754,277.01,"October 19, 18",-0.0031754
1242,2018-10-18,279.4,280.07,274.97,276.4,254.27,134557500,134557500,-3.0,-1.07,277.15,"October 18, 18",-0.0107
1243,2018-10-17,280.44,281.15,277.56,280.45,257.99,110626000,110626000,0.01,0.00356583,279.72,"October 17, 18",3.56583e-05
1244,2018-10-16,276.6,280.82,276.07,280.4,257.95,118255800,118255800,3.8,1.37,279.1,"October 16, 18",0.0137
1245,2018-10-15,275.55,277.04,274.3,274.4,252.43,102263700,102263700,-1.15,-0.41735,275.25,"October 15, 18",-0.0041735
1246,2018-10-12,276.77,277.09,272.37,275.95,253.85,183186500,183186500,-0.82,-0.29627,275.14,"October 12, 18",-0.0029627
1247,2018-10-11,277.08,278.9,270.36,272.17,250.38,274840500,274840500,-4.91,-1.77,273.81,"October 11, 18",-0.0177
1248,2018-10-10,286.83,286.91,277.88,278.3,256.02,214731000,214731000,-8.53,-2.97,281.03,"October 10, 18",-0.0297
1249,2018-10-09,287.39,288.86,286.77,287.4,264.39,74339000,74339000,0.01,0.00347959,287.68,"October 09, 18",3.47959e-05
1250,2018-10-08,287.05,288.22,285.5,287.82,264.77,87742200,87742200,0.77,0.26825,287.18,"October 08, 18",0.0026825
1251,2018-10-05,289.69,290.27,286.22,287.82,264.77,105951700,105951700,-1.87,-0.64552,288.1,"October 05, 18",-0.0064552
1252,2018-10-04,291.18,291.24,287.66,289.44,266.26,111545900,111545900,-1.74,-0.59757,289.45,"October 04, 18",-0.0059757
1253,2018-10-03,292.74,293.21,291.32,291.72,268.36,64694600,64694600,-1.02,-0.34843,292.08,"October 03, 18",-0.0034843
1254,2018-10-02,291.56,292.36,291.14,291.56,268.22,47258200,47258200,0.0,0.0,291.69,"October 02, 18",0.0
1255,2018-10-01,292.11,292.93,290.98,291.73,268.37,62078900,62078900,-0.38,-0.13009,291.88,"October 01, 18",-0.0013009
1256,2018-09-28,289.99,291.28,289.95,290.72,267.44,70091400,70091400,0.73,0.25173,290.65,"September 28, 18",0.0025173
